Topic,Count,Name,Representation,Representative_Docs
30,42,30_shape none_the layer_layer_shape,"['shape none', 'the layer', 'layer', 'shape', 'the layer expected', 'layer expected', 'none', 'input of layer', 'incompatible with the', 'with the layer']","['valueerror: input 0 of layer ""sequential"" is incompatible with the layer: expected shape=(none, 247, 15), found shape=(none, 15)', 'input 0 of layer ""sequential"" is incompatible with the layer: expected shape....... found shape=(none, 143)', 'input 0 of layer ""sequential"" is incompatible with the layer: expected shape=(none, 784), found shape=(none, 28, 28)']"
31,40,31_accuracy_validation_val_accuracy_cnn,"['accuracy', 'validation', 'val_accuracy', 'cnn', 'high', 'training', 'validation set', 'high accuracy', 'cnn model', 'accuracy but']","['deep learning models yielding high training accuracy but poor performance on testing data in binary text classification', 'teachablemachine model working with 100% accuracy on website, but very low accuracy with python', 'high accuracy on both training and validation set, but extremely poor classification report']"
32,40,32_pandas_astype_column_pandas astype,"['pandas', 'astype', 'column', 'pandas astype', 'dataframe', 'scalar', 'pandas valueerror', 'pandas version', 'valueerror', 'the column']","['pandas astype becomes in-place operation for data loaded from pickle files', 'what does ""dataframe.at[source]: typeerror: only integer scalar arrays can be converted to a scalar index"" mean?', 'after creating dataframe df2, getting values as ellipsis under column price_usd: no such column exists in the original csv data source']"
33,40,33_image_images_cnn_image classification,"['image', 'images', 'cnn', 'image classification', 'classify', 'channels', 'classification', 'images for', 'to classify', 'images and']","['reshaping image in cnn image classification', 'keras cnn - training image classification model with variable image sizes', 'tensorflow how to feed many input images (array of (batchsize, height, width, channels)) to tensorflow conv2d for object detection?']"
34,39,34_tensor_numpy_numpy array_convert,"['tensor', 'numpy', 'numpy array', 'convert', 'to tensor', 'array', 'to convert', 'array to', 'convert numpy array', 'numpy array to']","['tensorflow training issue: failed to convert a numpy array to a tensor (unsupported object type numpy.ndarray)', 'tensorflow valueerror: failed to convert a numpy array to a tensor (unsupported object type numpy.ndarray)', 'keras - valueerror: failed to convert a numpy array to a tensor (unsupported object type numpy.ndarray)']"
35,37,35_gradients_gan_gradient_provided for,"['gradients', 'gan', 'gradient', 'provided for', 'provided', 'gradients provided for', 'any variable', 'gradients provided', 'provided for any', 'no gradients']","['tensorflow keras, raise valueerror( valueerror: no gradients provided for any variable:', 'valueerror: no gradients provided for any variable: tensorflow gan', 'tensorflow - valueerror: no gradients provided for any variable']"
36,36,36_pyspark_databricks_in pyspark_pyspark sql,"['pyspark', 'databricks', 'in pyspark', 'pyspark sql', 'spark', 'pyspark sql types', 'in pyspark without', 'not merge type', 'pyspark databricks', 'pyspark without']","['how to collect multiple metrics with observe in pyspark without triggering multiple actions', 'how to do linear interpolation in pyspark without pandas udf (only using spark api)?', ""pyspark - can not merge type <class 'pyspark.sql.types.stringtype'> and <class 'pyspark.sql.types.doubletype'>""]"
37,36,37_regex_strings_words_names,"['regex', 'strings', 'words', 'names', 'string', 'identifiers', 'pattern', 'regex pattern', 'from string', 'match']","['how to conditionally extract strings using different regex rules depending on column value in python', 'pandas string replace with regex argument for non-regex replacements', 'non-greedy sub-regex hinders capture of optional sub-regex that follows']"
38,35,38_sort_order_sorting_how to sort,"['sort', 'order', 'sorting', 'how to sort', 'to sort', 'by', 'pandas dataframe by', 'dataframe', 'pandas', 'dataframe by']","['how can i group on two levels in pandas and sort the values in descending order to pick the top 5 in each group level', 'how to sort a pandas dataframe by value in second column, while keeping rows together', 'how to sort a pandas dataframe by a binned column']"
39,34,39_max_value_max value_group,"['max', 'value', 'max value', 'group', 'column', 'min', 'maximum', 'largest', 'group in pandas', 'group in']","['min and max value on multiple cells group by third column value', 'how to efficiently select the top column by grouping for each row of a pandas dataframe?', 'find max value of a column, then find another value in the same row, and copy that value to a new column']"
40,33,40_weights_weight_weights of_biases,"['weights', 'weight', 'weights of', 'biases', 'and biases', 'weights and biases', 'keras', 'weights and', 'model', 'weighted']","['how to get the weights of the layer just before the last layer in pretrained inception model', 'in tensorflow keras, how do i load the weights of another model while skipping incompatible layers?', 'how to obtain the updated weights of neurons based on each data in a batch during the training process in keras?']"
41,33,41_graph_graph execution_graph execution error_execution error,"['graph', 'graph execution', 'graph execution error', 'execution error', 'execution', 'error', 'invalidargumenterror graph', 'invalidargumenterror graph execution', 'invalidargumenterror', 'tensorboard']","['howto resolve this error :- invalidargumenterror: graph execution error:', 'tensorflow keras graph error ( graph execution error)', 'invalidargumenterror: graph execution error: in training of u-net']"
42,33,42_conv2d_conv1d_layer_conv2dtranspose,"['conv2d', 'conv1d', 'layer', 'conv2dtranspose', 'conv2d_11', 'conv2d layer', 'kernel', 'what does', 'keras is', 'keras']","['is there a way to make sure that the first kernel used by conv2d is the same every time?', 'tf.keras: why my unet with final layer conv3d with sigmoid activation gives probabilities less than 0 and more than 1', 'how to solve the issue ""input 0 of layer ""conv1d"" is incompatible with the layer"" with keras api?']"
43,32,43_gpu_and keras_gpu how_cpu,"['gpu', 'and keras', 'gpu how', 'cpu', 'on gpu', 'tensorflow', 'on', 'keras', 'gpu how to', 'with gpu']","[""keras multi-gpu training, gpu resource can't be shared, causing training failure"", 'how to use amd gpu to process data with tensorflow and keras on windows 11 pc', 'tensorflow 2.12 gpu utilisation with cuda 11.8 - unsuccessful gpu utilisation during training even though it shown to be available']"
44,32,44_django_in django_django orm_queryset,"['django', 'in django', 'django orm', 'queryset', 'admin', 'orm', 'template', 'filter', 'django rest framework', 'django template django']","['django orm: add integer days to a datefield to annotate next_service and filter it (postgresql)', 'django rest framework: ""no default throttle rate set for \'signup\' scope"" even though scope is defined', 'upgrading django to 5.2.7 causing error wth rest_framework_simplejwt as django.utils.timezone is depreciated']"
45,32,45_columns_transpose_columns in_pandas,"['columns', 'transpose', 'columns in', 'pandas', 'column', 'columns in pandas', 'to transpose', 'in pandas', 'dataframe', 'pandas dataframe']","['how to transpose and modify a pandas dataframe based on column values', 'melt data from one column with variable number of elements to two columns in pandas', 'way to transpose a pandas datafraa repeated blocks of 4 rows with values in the same column, with dupes']"
46,31,46_batch_batch size_size_batch_size,"['batch', 'batch size', 'size', 'batch_size', 'batches', 'batchnormalization', 'batch norm', 'to make batching', 'batch size for', 'batch size in']","['integrate batch size in keras tuner', 'training xception model keras - batch size 32 gives error but it works for batch size = 16', 'input batch size in keras and model.fit() batch size for time series data']"
47,30,47_scrape_to scrape_scraping_website,"['scrape', 'to scrape', 'scraping', 'website', 'beautifulsoup', 'can scrape', 'dynamic', 'table', 'how can scrape', 'from website']","['how can i scrape event links and contact information from a website with python?', 'trying to scrape the google map links inframed on dynamic web pages, successful in some of them but fail in others', 'how to scrape a website that has <span class=""ellipsis"">…</span> in between number on a dynamic table with selenium python']"
48,29,48_excel_read_excel_pandas read_excel_excel file,"['excel', 'read_excel', 'pandas read_excel', 'excel file', 'read', 'pandas', 'file', 'excel column', 'to excel', 'with pandas']","[""i can't convert dataframe to excel file due to not enough space, but i do have space on my disk"", ""i am using panda and tksheet to create a ledger table which i want to be able to edit by clicking on a cell. cells don't respond to mouse"", 'download and read an excel file into a pandas dataframe without saving the excel file']"
49,29,49_parquet_parquet file_to s3_parquet files,"['parquet', 'parquet file', 'to s3', 'parquet files', 's3', 'file', 'write', 'write parquet', 'polars', 'delta']","['pandas parquet file pyarrow.lib.arrowmemoryerror: malloc of size 106255424 failed', 'how to write parquet file to databricks volume?', 'pandas write parquet files to s3 has partition limit of 1024']"
50,28,50_colab_google colab_google_in colab,"['colab', 'google colab', 'google', 'in colab', 'in google', 'in google colab', 'tpu', 'colab google', 'colab google colab', 'google colab google']","['resnet50 on tpu calculates nan for accuracy and loss, works fine on cpu in google colab', 'import error in google colab with keras_utils', 'loading many pytorch .pt files from google drive in google colab is extremely slow']"
51,27,51_fit_model fit_generator_model,"['fit', 'model fit', 'generator', 'model', 'fit_generator', 'split', 'train_test_split', 'model fit with', 'model fit_generator', 'fit with']","['tensorflow 2.0.0 and 2.4.0: differences between model.fit() and model.fit_generator()?', 'ml model fit with training data outperforms model fit with generator', 'which metrics are printed (train or validation) when validation_split and validation_data is not specified in the keras model.fit function?']"
52,27,52_classification_multi_multi label_label,"['classification', 'multi', 'multi label', 'label', 'multi class', 'outputs', 'label classification', 'multi label classification', 'multilabel', 'class classification']","['how to do multi-label classification with tensorflow / keras?', 'votingclassifier only supports binary or multiclass classification. multilabel and multi-output classification are not supported', 'understanding the accuracy metric in tensorflow keras for multi-label classification tasks']"
53,27,53_multiprocessing_python multiprocessing_process_multiprocess,"['multiprocessing', 'python multiprocessing', 'process', 'multiprocess', 'multiprocessing python', 'semaphores', 'other process', 'workers', 'processing', 'python']","['why does multiprocess with ""fork"" fail under python 3.14 but work in 3.13 (works only with ""spawn"" and ""forkserver"")?', 'python multiprocessing shared memory seems to hang or crash when interacting with small numpy arrays', 'python gets stuck in an infinite loop restarting multiprocessing pool workers on error in initilization routine']"
54,27,54_splitting_python docx_parsing_docx,"['splitting', 'python docx', 'parsing', 'docx', 'line', 'spaces', 'in python', 'parse', 'parsing with python', 'delimited table']","[""why does str.split() without arguments collapse multiple spaces, but str.split(' ') produces empty strings?"", 'parsing a multi pipes-delimited table in python', 'problem with breaks on parsing a multi pipes-delimited table in python']"
55,26,55_pyside6_qt_crash_in pyside6,"['pyside6', 'qt', 'crash', 'in pyside6', 'progress', 'tqdm', 'qthread', 'qt creator', 'window when', 'tqdm progress bar']","['pyside6-qtquick qsggeometrynode used in qquickitem.updatepaintnode not visible and sometimes causes crash', 'why does this qt program that creates multiple qapplication objects crash unless i reset a dead local variable?', 'silent crash when adding emoji to button label in pyside6 / qt creator']"
56,26,56_pydantic_field_sphinx_pydantic models,"['pydantic', 'field', 'sphinx', 'pydantic models', 'models', 'dynamic', 'dynamic model', 'documentation for', 'generate documentation for', 'generate documentation']","['using sphinx autosummary to generate documentation for class instances stored as attributes during instantiation of another class', 'how can i validate recursive pydantic models where the validation rules depend on dynamic nesting depth?', 'defining a pydantic dynamic model field in terms of another pydantic dynamic model']"
57,26,57_dictionary_keys_dict_key,"['dictionary', 'keys', 'dict', 'key', 'list', 'dictionaries', 'and values are', 'typeddict', 'the keys', 'of lists and']","['how to access a dictionary key storing a list in a list of lists and dictionaries', 'how to create a dictionary where the keys are the alphabet (a-z), and values are a letter from a string in python?', 'create a new column of dictionaries where keys are in another column of lists, and values are found by looking up the keys in another column']"
58,26,58_flask_in flask_to flask_flask endpoint,"['flask', 'in flask', 'to flask', 'flask endpoint', 'endpoint', 'deferent', 'flask view', 'from flask', 'same page', 'html']","['locust post request with .xlsx file to flask endpoint returns a 503 error', 'directory / api structure moving to flask-smorest from flask-restx', 'how can i use a return value in a flask endpoint from another flask endpoint?']"
59,26,59_apply_function_pandas apply_apply function,"['apply', 'function', 'pandas apply', 'apply function', 'pandas apply function', 'dataframe', 'dataframe apply', 'pandas', 'pandas dataframe', 'df apply']","[""in python pandas dataframe.apply() method lambda expression is taking apply() method's argument"", 'python pandas apply function - updating multiple columns based on calculated values', ""why is the panda's apply function so slow when iterating over an entire row, rather than a specific column?""]"
60,25,60_pdf_from pdf_html_table,"['pdf', 'from pdf', 'html', 'table', 'html table', 'pdf with', 'pdfs', 'to html', 'pypdf', 'pdf how']","['ubuntu printing pdf with fields does not print filled in fields when filled with python fillpdf', 'how to dynamically detect 2nd page and dynamically insert header on pdf from html template in python', 'extracting decimal and negative numbers from pdf, where decimals look like exponents in the pdf']"
61,25,61_langgraph_langchain_in langchain_rag,"['langgraph', 'langchain', 'in langchain', 'rag', 'tool', 'tools', 'with ollama', 'langchain rag', 'agent', 'msg']","['azure monitor opentelemetry does not close span on chain end in langchain', 'typeerror: object of type natype is not serializable when returning a simple dictionary in langgraph', 'why does my langchain rag chatbot sometimes miss relevant chunks in semantic search?']"
62,25,62_indexerror_array_must_must be,"['indexerror', 'array', 'must', 'must be', 'sure', 'all arrays', 'arrays contain the', 'sure all', 'arrays contain', 'make sure all']","['make sure all arrays contain the same number of samples', 'data cardinality is ambiguous, make sure all arrays contain the same number of samples', 'valueerror: data cardinality is ambiguous ; make sure all arrays contain the same number of samples']"
63,25,63_filter_conditions_to filter_filtering,"['filter', 'conditions', 'to filter', 'filtering', 'pandas', 'dataframe', 'how to filter', 'select', 'pandas dataframe', 'in pandas']","['more efficient way to create new column in dataframe that uses row-based filtering but avoiding iterrows()', 'how to apply a pandas filter if the filter requirement is an element in a list', 'how to filter and drop rows in a pandas dataframe from selected columns']"
64,24,64_importing pandas_modulenotfounderror no module_modulenotfounderror no_named pandas,"['importing pandas', 'modulenotfounderror no module', 'modulenotfounderror no', 'named pandas', 'module named pandas', 'modulenotfounderror', 'no module named', 'module named', 'no module', 'importing']","['modulenotfounderror: no module named \'pandas\' - i keep getting ""kicked"" out of my .venv enviornment when running script', ""modulenotfounderror: no module named 'pandas' in apache airflow"", ""modulenotfounderror: no module named 'pandas._config'""]"
65,24,65_resnet50_efficientnet_resnet50 model_resnet,"['resnet50', 'efficientnet', 'resnet50 model', 'resnet', 'classifiers', 'resnet model', 'image', 'densenet121', 'imagenet', 'fine tuning']","['how do i fix this image shape error when feeding image to resnet50?', 'finding a way to show image category name in resnet50 model', 'how do i alter the code of efficientnet v2 so it can take input images of unconventional size?']"
66,22,66_compare_dataframes_comparing_compare two,"['compare', 'dataframes', 'comparing', 'compare two', 'compare two dataframes', 'two', 'pandas dataframes how', 'two dataframes', 'pandas dataframes', 'to compare']","['how can i compare two pandas dataframes with object-type columns, with a numeric tolerance?', 'compare two dataframes and check if combination in first df is in second', 'how to compare two dataframes according to values and column headers in pandas?']"
67,22,67_decimal_float_round_decimal places,"['decimal', 'float', 'round', 'decimal places', 'places', 'decimals', 'round function', 'values', 'decimal values', 'float64']","['float values not displaying decimal places when using pandas to_sql()', 'inconsistent behavior of float datatype in pandas dataframe for high precision decimal values', 'round function is inconsistent in rounding 2 decimal places']"
68,22,68_image_dataset_from_directory_utils image_dataset_from_directory_keras utils image_dataset_from_directory_tf keras utils,"['image_dataset_from_directory', 'utils image_dataset_from_directory', 'keras utils image_dataset_from_directory', 'tf keras utils', 'keras utils', 'utils', 'tf keras', 'images', 'classes', 'tf']","['can i use the output of tf.keras.utils.image_dataset_from_directory to train an autoencoder?', 'how to use tf.keras.utils.image_dataset_from_directory to create training,testing, validation sets?', 'using tf.keras.utils.image_dataset_from_directory mismatches labels on the images']"
69,22,69_input_valueerror_tensorflow_shape,"['input', 'valueerror', 'tensorflow', 'shape', 'expects input but', 'expects input', 'but it received', 'valueerror layer', 'expects', 'it received']","['valueerror: layer ""model_69"" expects 3 input(s), but it received 96 input tensors', 'valueerror: layer ""model_1"" expects 7 input(s), but it received 1 input tensors', 'valueerror: layer ""model_20"" expects 3 input(s), but it received 1 input tensors. inputs received: []. how to fix this']"
70,22,70_model fit_fit_keras model fit_model,"['model fit', 'fit', 'keras model fit', 'model', 'nonetype object', 'keras model', 'nonetype', 'nonetype object is', 'work when', 'model fit function']","[""during model.fit() 'nonetype' object is not callable, ambiguous truth series"", 'model.fit ""typeerror: \'nonetype\' object is not callable""', 'keras model.fit() fails with valueerror: shapes (none, 5) and (none, 1) are incompatible']"
71,22,71_pyinstaller_exe_with pyinstaller_an exe,"['pyinstaller', 'exe', 'with pyinstaller', 'an exe', 'pyinstaller exe', 'doesn include', 'exe file', 'pyinstaller doesn', 'pyinstaller doesn include', 'pyinstaller build']","[""pyinstaller - it does'nt generate an .exe file"", 'exe created with pyinstaller fails to import qtmodern as specified in hook', 'how to package a pyspark + delta lake script into an exe with pyinstaller']"
72,22,72_pytest_with pytest_tesseract_fixture,"['pytest', 'with pytest', 'tesseract', 'fixture', 'test', 'tesseract ocr', 'fixture in', 'fixture in pytest', 'using pytest', 'in pytest']","['can someone help me how to test with sys.exit if its possible with pytest?', 'pytest-django database not rolled back with pytest-asyncio', 'how can i get the accurate time spent in the pytest-html report when the tests are run in parallel (via pytest-xdist)?']"
73,21,73_series_pandas_integer_result,"['series', 'pandas', 'integer', 'result', 'this pandas series', 'convert this pandas', 'convert this', 'pandas series result', 'series result', 'series result to']","['pandas dt accessor or groupby function returning decimal numbers instead of integers in index labels where some series values na', 'how to convert this pandas.series result to integer?', 'how can i convert this pandas.series result to integer?']"
74,21,74_import_from keras_import keras_keras,"['import', 'from keras', 'import keras', 'keras', 'cannot import', 'to import', 'can import', 'cannot import name', 'import name', 'importing']","['cannot import from keras', 'getting ""cannot import name \'layers\' from \'keras\'"" while importing keras', ""cannot import name 'path_to_string' from 'keras.utils.io_utils' (c:\\users\\hello\\.conda\\envs\\myenv\\lib\\site-packages\\keras\\utils\\io_utils.py)""]"
75,21,75_metrics_metric_custom metric_keras metrics,"['metrics', 'metric', 'custom metric', 'keras metrics', 'f1score', 'metrics in', 'scikeras', 'wrappers', 'custom', 'custom metric with']","['kerastuner: custom metrics (e.g., f1 score, auc) in objective with randomsearch error', ""tensorflow 2.17.0 model metrics not recognized - showing ['loss', 'compile_metrics'] instead of expected metrics"", 'replace tfa.metrics.f1score from tf addon by tf.keras.metrics.f1score']"
76,21,76_rolling_window_pandas rolling_rolling window,"['rolling', 'window', 'pandas rolling', 'rolling window', 'pandas', 'window in', 'in pandas pandas', 'dataframe rolling', 'does pandas rolling', 'rolling windows']","['pandas rolling window operation inconsistent results based on the length of a series', 'erroneous pandas rolling results with time window in grouped by dataframe imported from bigquery', 'pandas dataframe rolling mean of last 50 daily values differs from rolling(""50d"").mean()']"
